config,source_csv,n_days,total_trades,win_pct,net_pips_total,expectancy_gross,expectancy_net,spread_assumed
extended_window_run_A,scalper_extended_window_grid.csv,124,330,68.4,893.4,2.71,1.67,1.04
extended_window_run_B,scalper_extended_window_grid.csv,124,269,73.3,1054.6,3.92,2.88,1.04
extended_window_run_C,scalper_extended_window_grid.csv,124,205,73.5,896.8,4.37,3.33,1.04
price_ratchet_pb3_r2,scalper_price_ratchet_grid.csv,124,213,63.8,522.1,2.45,1.41,1.04
price_ratchet_pb3_r3,scalper_price_ratchet_grid.csv,124,272,67.8,771.2,2.84,1.8,1.04
price_ratchet_pb5_r2,scalper_price_ratchet_grid.csv,124,171,70.3,674.1,3.94,2.9,1.04
price_ratchet_pb5_r3,scalper_price_ratchet_grid.csv,124,205,73.5,896.8,4.37,3.33,1.04
no_gate_cohort_A,distribution_no_gate_grid.csv,254,481,70.5,1507.9,3.13,2.09,1.04
no_gate_cohort_B,distribution_no_gate_grid.csv,286,481,70.5,1507.9,3.13,2.09,1.04
agree_split_AGREE,distribution_agree_split.csv,124,269,73.3,1054.6,3.92,2.88,1.04
agree_split_NEUTRAL,distribution_agree_split.csv,44,75,75.9,299.3,3.99,2.95,1.04
agree_split_DISAGREE,distribution_agree_split.csv,86,137,60.7,154,1.12,0.08,1.04
asian_scalper_cohort_A,asian_scalper_backtest.csv,2,6,83.3,40,6.67,5.63,1.04
asian_scalper_cohort_B,asian_scalper_backtest.csv,255,409,61.7,674.5,1.65,0.61,1.04
